predict_time,g_range,threshold,build_time
0.004028798818588257,3,0.5,143.72641563415527
0.004019909858703613,3,0.1,143.72641563415527
0.003891341686248779,3,0.07,143.72641563415527
0.00406963300704956,3,0.05,143.72641563415527
0.00583759593963623,5,0.5,143.72641563415527
0.005903246402740478,5,0.1,143.72641563415527
0.005964011907577515,5,0.07,143.72641563415527
0.0060881743431091305,5,0.05,143.72641563415527
0.007573032140731811,7,0.5,143.72641563415527
0.008028615474700927,7,0.1,143.72641563415527
0.008067854166030885,7,0.07,143.72641563415527
0.008017834186553954,7,0.05,143.72641563415527
0.011020817995071411,10,0.5,143.72641563415527
0.011625813007354737,10,0.1,143.72641563415527
0.011682655572891235,10,0.07,143.72641563415527
0.011296104907989503,10,0.05,143.72641563415527
0.013687444210052491,13,0.5,143.72641563415527
0.014793919324874878,13,0.1,143.72641563415527
0.014910016298294068,13,0.07,143.72641563415527
0.016013348579406738,13,0.05,143.72641563415527
0.014185573101043701,15,0.5,143.72641563415527
0.014931868314743042,15,0.1,143.72641563415527
0.015122899293899535,15,0.07,143.72641563415527
0.014962297439575195,15,0.05,143.72641563415527
0.014743254899978638,17,0.5,143.72641563415527
0.015812536239624024,17,0.1,143.72641563415527
0.01580889701843262,17,0.07,143.72641563415527
0.015859612464904783,17,0.05,143.72641563415527
0.015290276765823365,20,0.5,143.72641563415527
0.016468453407287597,20,0.1,143.72641563415527
0.016359442949295044,20,0.07,143.72641563415527
0.016419595003128052,20,0.05,143.72641563415527
0.015388726711273193,23,0.5,143.72641563415527
0.016418373823165893,23,0.1,143.72641563415527
0.016545757532119752,23,0.07,143.72641563415527
0.01677765989303589,23,0.05,143.72641563415527
