predict_time,g_range,l_range,build_time
0.0018762431144714355,3,1,12.683974027633667
0.0018294994831085205,3,3,12.683974027633667
0.0018569042682647706,3,5,12.683974027633667
0.0018772871494293212,3,7,12.683974027633667
0.002508181571960449,5,1,12.683974027633667
0.002592606544494629,5,3,12.683974027633667
0.0026178586483001707,5,5,12.683974027633667
0.0026712687015533446,5,7,12.683974027633667
0.002922274589538574,7,1,12.683974027633667
0.002989121675491333,7,3,12.683974027633667
0.0030923306941986082,7,5,12.683974027633667
0.0030151419639587403,7,7,12.683974027633667
0.0031369946002960205,10,1,12.683974027633667
0.003160220384597778,10,3,12.683974027633667
0.0032007794380187987,10,5,12.683974027633667
0.003276702880859375,10,7,12.683974027633667
