predict_time,g_range,l_range,build_time
0.0029258050918579102,3,1,156.14331221580505
0.0028303751945495605,3,5,156.14331221580505
0.002817704916000366,3,7,156.14331221580505
0.0040951213836669925,5,1,156.14331221580505
0.004218436241149902,5,5,156.14331221580505
0.00414154577255249,5,7,156.14331221580505
0.005445049524307251,7,1,156.14331221580505
0.0056877400875091555,7,5,156.14331221580505
0.005709979772567749,7,7,156.14331221580505
0.0076171083450317385,10,1,156.14331221580505
0.0077497663497924805,10,5,156.14331221580505
0.00779891037940979,10,7,156.14331221580505
0.00952281928062439,13,1,156.14331221580505
0.009894712924957276,13,5,156.14331221580505
0.009758182287216187,13,7,156.14331221580505
0.010538788795471191,15,1,156.14331221580505
0.010847944974899291,15,5,156.14331221580505
0.011008699178695678,15,7,156.14331221580505
0.011692726135253906,17,1,156.14331221580505
0.012000952243804932,17,5,156.14331221580505
0.011887501955032348,17,7,156.14331221580505
0.013031258821487427,20,1,156.14331221580505
0.013371961116790771,20,5,156.14331221580505
0.013254889726638793,20,7,156.14331221580505
0.014187689065933227,23,1,156.14331221580505
0.014432282924652099,23,5,156.14331221580505
0.014507895231246948,23,7,156.14331221580505
