predict_time,g_range,threshold,build_time
0.0020775740146636965,3,0.5,156.42356514930725
0.0020244483947753906,3,0.1,156.42356514930725
0.002064631700515747,3,0.05,156.42356514930725
0.002962748050689697,5,0.5,156.42356514930725
0.0030235295295715334,5,0.1,156.42356514930725
0.003077683925628662,5,0.05,156.42356514930725
0.003893747568130493,7,0.5,156.42356514930725
0.004041507005691529,7,0.1,156.42356514930725
0.004092380046844483,7,0.05,156.42356514930725
0.005618711233139038,10,0.5,156.42356514930725
0.005737012386322022,10,0.1,156.42356514930725
0.005612447261810303,10,0.05,156.42356514930725
0.006986443519592285,13,0.5,156.42356514930725
0.007314328908920288,13,0.1,156.42356514930725
0.00722521710395813,13,0.05,156.42356514930725
0.008149999856948852,15,0.5,156.42356514930725
0.008428763628005981,15,0.1,156.42356514930725
0.008466371297836305,15,0.05,156.42356514930725
0.008979645252227783,17,0.5,156.42356514930725
0.009323010444641113,17,0.1,156.42356514930725
0.00929262375831604,17,0.05,156.42356514930725
0.010580826759338378,20,0.5,156.42356514930725
0.011002383232116698,20,0.1,156.42356514930725
0.0106928231716156,20,0.05,156.42356514930725
0.012249130964279174,23,0.5,156.42356514930725
0.012578949689865112,23,0.1,156.42356514930725
0.012454224109649659,23,0.05,156.42356514930725
