predict_time,g_range,threshold,build_time
0.0019114925861358643,3,0.5,12.683974027633667
0.0019660823345184326,3,0.1,12.683974027633667
0.0019412562847137451,3,0.07,12.683974027633667
0.0019711785316467285,3,0.05,12.683974027633667
0.00267397403717041,5,0.5,12.683974027633667
0.0027547056674957276,5,0.1,12.683974027633667
0.002751462936401367,5,0.07,12.683974027633667
0.0026861398220062254,5,0.05,12.683974027633667
0.0031191480159759523,7,0.5,12.683974027633667
0.003334932804107666,7,0.1,12.683974027633667
0.0032843866348266602,7,0.07,12.683974027633667
0.003291797876358032,7,0.05,12.683974027633667
0.0033458995819091795,10,0.5,12.683974027633667
0.003469182252883911,10,0.1,12.683974027633667
0.00351995325088501,10,0.07,12.683974027633667
0.0034386370182037354,10,0.05,12.683974027633667
