predict_time,g_range,l_range,build_time
0.0036357927322387697,3,1,137.0528359413147
0.0036062026023864747,3,5,137.0528359413147
0.003758427619934082,3,7,137.0528359413147
0.005415652513504028,5,1,137.0528359413147
0.006136416673660278,5,5,137.0528359413147
0.006395983934402466,5,7,137.0528359413147
0.007577825546264649,7,1,137.0528359413147
0.008076570034027099,7,5,137.0528359413147
0.008662460327148437,7,7,137.0528359413147
0.010489197969436646,10,1,137.0528359413147
0.011096116065979003,10,5,137.0528359413147
0.011460875988006592,10,7,137.0528359413147
0.013134461879730224,13,1,137.0528359413147
0.014052905082702637,13,5,137.0528359413147
0.01397163462638855,13,7,137.0528359413147
0.014326599597930909,15,1,137.0528359413147
0.014981759786605835,15,5,137.0528359413147
0.015467494964599609,15,7,137.0528359413147
0.015096580743789672,17,1,137.0528359413147
0.01596327781677246,17,5,137.0528359413147
0.016438869476318358,17,7,137.0528359413147
0.015782580852508544,20,1,137.0528359413147
0.016526039838790894,20,5,137.0528359413147
0.017101001977920534,20,7,137.0528359413147
0.015931880712509155,23,1,137.0528359413147
0.01653392744064331,23,5,137.0528359413147
0.017600597858428955,23,7,137.0528359413147
